data,dia_semana,tipo,descricao,observacao
2019-10-25,sexta,facultativo,Ponto Facultativo,
2019-10-28,segunda,facultativo,Dia do Servidor Publico,
2019-11-02,sabado,nacional,Finados,cai em fim de semana (redundante p/ calculo)
2019-11-15,sexta,nacional,Proclamacao da Republica,
2019-11-20,quarta,municipal,Dia da Consciencia Negra,
2019-12-08,domingo,municipal,Nossa Senhora da Conceicao,cai em fim de semana (redundante p/ calculo)
2019-12-08,domingo,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",cai em fim de semana (redundante p/ calculo)
2019-12-25,quarta,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2020-01-01,quarta,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2020-02-24,segunda,facultativo,Carnaval,
2020-02-25,terca,feriado,Carnaval,
2020-02-26,quarta,facultativo,Quarta-feira de Cinzas,
2020-04-09,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2020-04-10,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2020-04-20,segunda,facultativo,Ponto Facultativo,
2020-04-21,terca,nacional,Tiradentes,
2020-05-01,sexta,nacional,Dia Mundial do Trabalho,
2020-06-11,quinta,feriado,Corpus Christi,
2020-06-12,sexta,facultativo,Ponto Facultativo,
2020-07-04,sabado,facultativo,Instalacao do Poder Judiciario no Amazonas,cai em fim de semana (redundante p/ calculo)
2020-08-11,terca,facultativo,Dia do Advogado,
2020-09-05,sabado,estadual,Elevacao do Amazonas a categoria de Provincia,cai em fim de semana (redundante p/ calculo)
2020-09-07,segunda,nacional,Independencia do Brasil,
2020-10-12,segunda,nacional,Nossa Senhora Aparecida,
2020-10-24,sabado,municipal,Elevacao de Manaus a categoria de Cidade,cai em fim de semana (redundante p/ calculo)
2020-10-28,quarta,facultativo,Dia do Servidor Publico,
2020-11-02,segunda,nacional,Finados,
2020-11-15,domingo,nacional,Proclamacao da Republica,cai em fim de semana (redundante p/ calculo)
2020-11-20,sexta,estadual,Dia da Consciencia Negra,
2020-12-07,segunda,facultativo,Ponto Facultativo,
2020-12-08,terca,municipal,Nossa Senhora da Conceicao,
2020-12-08,terca,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",
2020-12-25,sexta,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2021-01-01,sexta,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2021-02-15,segunda,facultativo,Carnaval,
2021-02-16,terca,feriado,Carnaval,
2021-02-17,quarta,facultativo,Quarta-feira de Cinzas,
2021-04-01,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2021-04-02,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2021-04-21,quarta,nacional,Tiradentes,
2021-05-01,sabado,nacional,Dia Mundial do Trabalho,cai em fim de semana (redundante p/ calculo)
2021-06-03,quinta,feriado,Corpus Christi,
2021-06-04,sexta,facultativo,Ponto Facultativo,
2021-07-04,domingo,facultativo,Instalacao do Poder Judiciario no Amazonas,cai em fim de semana (redundante p/ calculo)
2021-08-11,quarta,facultativo,Dia do Advogado,
2021-09-05,domingo,estadual,Elevacao do Amazonas a categoria de Provincia,cai em fim de semana (redundante p/ calculo)
2021-09-06,segunda,facultativo,Ponto Facultativo,
2021-09-07,terca,nacional,Independencia do Brasil,
2021-10-11,segunda,facultativo,Ponto Facultativo,
2021-10-12,terca,nacional,Nossa Senhora Aparecida,
2021-10-24,domingo,municipal,Elevacao de Manaus a categoria de Cidade,cai em fim de semana (redundante p/ calculo)
2021-10-28,quinta,facultativo,Dia do Servidor Publico,
2021-10-29,sexta,facultativo,Ponto Facultativo,
2021-11-01,segunda,facultativo,Ponto Facultativo,
2021-11-02,terca,nacional,Finados,
2021-11-15,segunda,nacional,Proclamacao da Republica,
2021-11-20,sabado,estadual,Dia da Consciencia Negra,cai em fim de semana (redundante p/ calculo)
2021-12-08,quarta,municipal,Nossa Senhora da Conceicao,
2021-12-08,quarta,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",
2021-12-25,sabado,nacional,Natal,cai em fim de semana (redundante p/ calculo); dentro da suspensao do art. 220 (redundante)
